dateTime,value__bpm,value__confidence
11/02/23 10:56:48,72,2
11/02/23 10:56:53,68,3
11/02/23 10:56:58,65,2
11/02/23 10:57:03,66,2
11/02/23 10:57:08,66,3
11/02/23 10:57:13,64,3
11/02/23 10:57:23,65,3
11/02/23 10:57:28,66,3
11/02/23 10:57:33,65,3
11/02/23 10:57:38,66,3
11/02/23 10:57:48,63,3
11/02/23 10:57:53,62,3
11/02/23 10:57:58,63,3
11/02/23 10:58:03,65,3
11/02/23 10:58:08,67,3
11/02/23 10:58:18,66,3
11/02/23 10:58:28,68,2
11/02/23 10:58:43,68,2
11/02/23 10:58:48,75,2
11/02/23 10:58:53,79,2
11/02/23 10:58:58,76,2
11/02/23 10:59:03,69,3
11/02/23 10:59:08,66,3
11/02/23 10:59:23,65,3
11/02/23 10:59:28,66,3
11/02/23 10:59:33,67,3
11/02/23 10:59:38,67,3
11/02/23 10:59:43,68,3
11/02/23 10:59:48,69,3
11/02/23 10:59:53,70,3
11/02/23 10:59:58,69,3
11/02/23 11:00:03,68,3
11/02/23 11:00:08,67,3
11/02/23 11:00:13,69,3
11/02/23 11:00:18,70,3
11/02/23 11:00:23,69,3
11/02/23 11:00:33,70,3
11/02/23 11:00:43,69,2
11/02/23 11:00:48,68,2
11/02/23 11:00:53,67,3
11/02/23 11:01:08,67,3
11/02/23 11:01:13,69,3
11/02/23 11:01:18,70,3
11/02/23 11:01:28,71,3
11/02/23 11:01:33,70,3
11/02/23 11:01:38,69,3
11/02/23 11:01:43,68,3
11/02/23 11:01:53,69,3
11/02/23 11:02:03,68,3
11/02/23 11:02:18,68,3
11/02/23 11:02:28,67,3
11/02/23 11:02:33,66,3
11/02/23 11:02:43,67,3
11/02/23 11:02:48,68,3
11/02/23 11:03:03,68,3
11/02/23 11:03:18,68,3
11/02/23 11:03:28,69,3
11/02/23 11:03:38,67,3
11/02/23 11:03:48,68,3
11/02/23 11:03:53,69,3
11/02/23 11:04:08,69,3
11/02/23 11:04:13,71,3
11/02/23 11:04:18,69,3
11/02/23 11:04:23,67,3
11/02/23 11:04:33,66,3
11/02/23 11:04:38,67,3
11/02/23 11:04:43,68,3
11/02/23 11:04:48,69,3
11/02/23 11:04:53,70,3
11/02/23 11:05:03,71,3
11/02/23 11:05:08,74,2
11/02/23 11:05:13,73,2
11/02/23 11:05:18,72,3
11/02/23 11:05:33,72,3
11/02/23 11:05:43,70,3
11/02/23 11:05:48,69,3
11/02/23 11:05:58,70,3
11/02/23 11:06:13,70,3
11/02/23 11:06:14,69,3
11/02/23 11:06:24,68,3
11/02/23 11:06:34,67,3
11/02/23 11:06:39,68,3
11/02/23 11:06:54,67,3
11/02/23 11:07:04,66,3
11/02/23 11:07:09,65,2
11/02/23 11:07:14,66,2
11/02/23 11:07:19,67,3
11/02/23 11:07:24,68,3
11/02/23 11:07:34,67,3
11/02/23 11:07:39,66,3
11/02/23 11:07:44,65,3
11/02/23 11:07:49,66,3
11/02/23 11:07:54,67,3
11/02/23 11:07:59,68,3
11/02/23 11:08:04,69,3
11/02/23 11:08:09,67,3
11/02/23 11:08:14,66,3
11/02/23 11:08:29,66,3
11/02/23 11:08:34,67,3
11/02/23 11:08:39,68,3
11/02/23 11:08:44,69,3
11/02/23 11:08:49,68,3
11/02/23 11:09:04,69,3
11/02/23 11:09:14,67,3
11/02/23 11:09:19,66,3
11/02/23 11:09:24,66,3
11/02/23 11:09:29,67,3
11/02/23 11:09:39,68,3
11/02/23 11:09:49,66,3
11/02/23 11:09:59,67,3
11/02/23 11:10:04,68,3
11/02/23 11:10:09,69,3
11/02/23 11:10:14,70,3
11/02/23 11:10:24,69,3
11/02/23 11:10:29,68,3
11/02/23 11:10:44,68,3
11/02/23 11:10:49,64,3
11/02/23 11:11:04,64,3
11/02/23 11:11:09,67,3
11/02/23 11:11:14,68,3
11/02/23 11:11:19,69,3
11/02/23 11:11:29,70,3
