dateTime,value/bpm,value/confidence
09/24/23 03:04:49,87,2
09/24/23 03:04:54,82,3
09/24/23 03:04:59,76,2
09/24/23 03:05:04,76,1
09/24/23 03:05:09,78,1
09/24/23 03:05:14,79,2
09/24/23 03:05:24,80,2
09/24/23 03:05:29,81,2
09/24/23 03:05:34,82,2
09/24/23 03:05:39,83,2
09/24/23 03:05:44,81,2
09/24/23 03:05:53,80,2
09/24/23 03:05:58,82,2
09/24/23 03:06:03,83,2
09/24/23 03:06:13,85,2
09/24/23 03:06:18,86,2
09/24/23 03:06:23,87,2
09/24/23 03:06:28,88,2
09/24/23 03:06:43,87,2
09/24/23 03:06:53,88,2
09/24/23 03:07:03,87,2
09/24/23 03:07:08,85,2
09/24/23 03:07:18,87,2
09/24/23 03:07:23,88,2
09/24/23 03:07:28,89,2
09/24/23 03:07:33,90,2
09/24/23 03:07:43,91,2
09/24/23 03:07:48,90,2
09/24/23 03:07:53,91,2
09/24/23 03:08:03,92,2
09/24/23 03:08:18,93,2
09/24/23 03:08:23,94,2
09/24/23 03:08:28,93,2
09/24/23 03:08:33,91,2
09/24/23 03:08:48,91,2
09/24/23 03:08:53,92,2
09/24/23 03:09:03,91,2
09/24/23 03:09:08,90,2
09/24/23 03:09:14,88,2
09/24/23 03:09:24,89,2
09/24/23 03:09:29,93,2
09/24/23 03:09:34,95,2
09/24/23 03:09:44,93,2
09/24/23 03:09:49,90,2
09/24/23 03:10:04,89,2
09/24/23 03:10:19,89,2
09/24/23 03:10:24,90,2
09/24/23 03:10:29,89,2
09/24/23 03:10:39,88,2
09/24/23 03:10:54,89,2
09/24/23 03:11:09,88,2
09/24/23 03:11:14,87,2
09/24/23 03:11:24,86,2
09/24/23 03:11:34,87,2
09/24/23 03:11:39,88,2
09/24/23 03:11:54,88,2
09/24/23 03:12:04,87,2
09/24/23 03:12:09,86,2
09/24/23 03:12:24,86,2
09/24/23 03:12:29,87,2
09/24/23 03:12:44,87,2
09/24/23 03:12:49,88,2
09/24/23 03:13:04,88,2
09/24/23 03:13:19,88,2
09/24/23 03:13:34,88,2
09/24/23 03:13:39,88,2
09/24/23 03:13:44,85,3
09/24/23 03:13:49,87,2
09/24/23 03:13:54,88,2
09/24/23 03:13:59,91,3
09/24/23 03:14:04,92,3
09/24/23 03:14:09,92,2
09/24/23 03:14:19,93,2
09/24/23 03:14:34,93,2
09/24/23 03:14:44,94,2
09/24/23 03:14:54,95,2
09/24/23 03:14:59,96,2
09/24/23 03:15:04,94,2
09/24/23 03:15:09,91,2
09/24/23 03:15:24,90,2
09/24/23 03:15:34,89,2
09/24/23 03:15:44,90,2
09/24/23 03:15:49,91,2
09/24/23 03:15:54,92,2
09/24/23 03:16:09,91,2
09/24/23 03:16:14,92,2
09/24/23 03:16:19,93,2
09/24/23 03:16:24,92,2
09/24/23 03:16:29,91,2
09/24/23 03:16:34,90,2
09/24/23 03:16:39,89,2
09/24/23 03:16:54,89,2
09/24/23 03:16:59,88,2
09/24/23 03:17:14,88,2
09/24/23 03:17:19,84,3
09/24/23 03:17:24,83,2
09/24/23 03:17:34,84,2
09/24/23 03:17:49,84,2
09/24/23 03:18:04,84,2
09/24/23 03:18:09,85,2
09/24/23 03:18:19,86,2
09/24/23 03:18:29,84,2
09/24/23 03:18:34,83,2
09/24/23 03:18:44,84,2
09/24/23 03:18:49,85,2
09/24/23 03:19:04,85,2
09/24/23 03:19:14,84,2
09/24/23 03:19:29,84,2
09/24/23 03:19:34,89,2
09/24/23 03:19:39,91,2
09/24/23 03:19:54,90,2
09/24/23 03:20:04,89,2
09/24/23 03:20:19,88,2
09/24/23 03:20:34,88,2
09/24/23 03:20:39,90,2
09/24/23 03:20:44,91,2
09/24/23 03:20:49,90,2
09/24/23 03:21:04,90,2
09/24/23 03:21:05,90,2
09/24/23 03:21:15,89,2
09/24/23 03:21:30,89,2
09/24/23 03:21:40,90,2
09/24/23 03:21:55,90,2
09/24/23 03:22:00,89,2
09/24/23 03:22:10,87,2
09/24/23 03:22:15,86,2
09/24/23 03:22:20,91,2
09/24/23 03:22:30,90,2
09/24/23 03:22:40,89,2
09/24/23 03:22:55,90,2
09/24/23 03:23:00,91,2
09/24/23 03:23:05,90,2
09/24/23 03:23:15,89,2
09/24/23 03:23:30,89,2
09/24/23 03:23:45,91,2
09/24/23 03:23:50,93,2
09/24/23 03:23:55,94,2
09/24/23 03:24:05,95,2
09/24/23 03:24:10,96,2
09/24/23 03:24:25,101,2
09/24/23 03:24:30,103,2
09/24/23 03:24:35,101,1
09/24/23 03:24:40,102,1
09/24/23 03:24:45,101,1
09/24/23 03:24:50,97,1
09/24/23 03:24:55,94,1
09/24/23 03:25:10,94,1
09/24/23 03:25:20,94,2
09/24/23 03:25:25,96,1
09/24/23 03:25:35,96,2
09/24/23 03:25:40,94,2
09/24/23 03:25:45,91,2
09/24/23 03:25:50,88,2
09/24/23 03:26:05,88,2
09/24/23 03:26:10,90,2
09/24/23 03:26:15,88,2
09/24/23 03:26:20,89,2
09/24/23 03:26:25,90,2
09/24/23 03:26:40,90,2
09/24/23 03:26:45,89,2
09/24/23 03:26:55,90,2
09/24/23 03:27:00,91,2
09/24/23 03:27:05,92,2
09/24/23 03:27:20,92,2
09/24/23 03:27:25,90,2
09/24/23 03:27:30,91,2
09/24/23 03:27:35,90,2
09/24/23 03:27:40,92,2
09/24/23 03:27:45,90,2
09/24/23 03:27:50,88,2
09/24/23 03:28:00,87,2
09/24/23 03:28:06,88,2
09/24/23 03:28:16,87,2
09/24/23 03:28:26,88,2
09/24/23 03:28:31,90,2
09/24/23 03:28:36,93,2
09/24/23 03:28:41,94,2
09/24/23 03:28:51,95,2
